modelo,combustivel,ano,quilometragem,final de placa,carroceria,cor,ar condicionado,direcao,vidro eletrico,teto solar,alarme,rodas,retrovisores,computador de bordo
['CIVIC'],['Gasolina e álcool'],['2010/2010'],['49.033'],['8'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['F-75'],['Gasolina'],['1974/1974'],['2.500'],['7'],['Picape'],['Laranja'],['nao'],['Direção hidráulica'],['nao'],['nao'],['nao'],[''],[''],['nao']
['KOMBI'],['Gasolina e álcool'],['2008/2009'],['142.000'],['5'],['Van/Utilitário'],['Branco'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['C 250'],['Gasolina'],['2017/2018'],['28.600'],['7'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['NEW BEETLE'],['Gasolina'],['2008/2009'],['117.000'],['7'],['Hatchback'],['Verde'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['ONIX'],['Gasolina e álcool'],['2018/2019'],['43.467'],['9'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['ONIX'],['Gasolina e álcool'],['2019/2019'],['45.010'],['9'],['Hatchback'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['2008'],['Gasolina e álcool'],['2020/2020'],['8.000'],['1'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FUSCA'],['Gasolina'],['1968/1968'],['10.594'],['4'],['Sedã'],['Verde'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['PAJERO'],['Diesel'],['2015/2016'],['184.146'],['9'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['320i'],['Gasolina e álcool'],['2018/2018'],['39.857'],['9'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GRAND CHEROKEE'],['Gasolina'],['2015/2015'],['93.000'],['2'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['MERIVA'],['Gasolina e álcool'],['2011/2011'],['115.000'],['0'],['Minivan'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['CAPTUR'],['Gasolina e álcool'],['2019/2020'],['34.408'],['9'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PRISMA'],['Gasolina e álcool'],['2019/2019'],['46.906'],['5'],['Sedã'],['Prata'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['Computador de bordo']
['FLUENCE'],['Gasolina e álcool'],['2013/2014'],['110.000'],['2'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['TORO'],['Diesel'],['2021/2021'],['100'],['5'],['Picape'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['RENEGADE'],['Gasolina e álcool'],['2019/2019'],['41.200'],['4'],['Utilitário esportivo'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['C 180'],['Gasolina'],['2015/2015'],['57.220'],['5'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PAJERO FULL'],['Diesel'],['2015/2016'],['180.000'],['6'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2018/2019'],['12.914'],['7'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['ECOSPORT'],['Gasolina e álcool'],['2017/2018'],['49.000'],['9'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['nao'],['sim'],['nao'],['Rodas de liga leve'],[''],['nao']
['KA'],['Gasolina e álcool'],['2018/2019'],['12.914'],['7'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['COMPASS'],['Gasolina e álcool'],['2017/2018'],['33.500'],['4'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2018/2019'],['12.914'],['7'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['KA'],['Gasolina e álcool'],['2018/2019'],['12.914'],['7'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['KA'],['Gasolina e álcool'],['2018/2019'],['12.914'],['7'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['HILUX SW4'],['Diesel'],['2017/2017'],['75.000'],['1'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ETIOS'],['Gasolina e álcool'],['2015/2016'],['75.100'],['4'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['PRISMA'],['Gasolina e álcool'],['2018/2018'],['20.000'],['6'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['T-CROSS'],['Gasolina e álcool'],['2020/2020'],['13.000'],['6'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['T-CROSS'],['Gasolina e álcool'],['2019/2020'],['18.800'],['9'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['COMPASS'],['Gasolina e álcool'],['2020/2021'],['13.500'],['3'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SAVEIRO'],['Gasolina e álcool'],['2017/2018'],['43.000'],['5'],['Picape'],['Azul'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['VIRTUS'],['Gasolina e álcool'],['2019/2020'],['64.933'],['8'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SPIN'],['Gasolina e álcool'],['2016/2016'],['95.000'],['5'],['Minivan'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CRETA'],['Gasolina e álcool'],['2018/2018'],['30.859'],['3'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['T6'],['Gasolina e álcool'],['2015/2016'],['89.000'],['0'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['SANDERO'],['Gasolina e álcool'],['2019/2020'],['45.480'],['3'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['SAVEIRO'],['Gasolina e álcool'],['2019/2020'],['42.094'],['4'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['CIVIC'],['Gasolina e álcool'],['2019/2020'],['25.000'],['7'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CAPTUR'],['Gasolina e álcool'],['2019/2020'],['24.960'],['1'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GRAND VITARA'],['Gasolina'],['2013/2013'],['141.000'],['2'],['Utilitário esportivo'],['Marrom'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['nao']
['CRUZE'],['Gasolina e álcool'],['2018/2019'],['39.848'],['3'],['Sedã'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['2008'],['Gasolina e álcool'],['2019/2020'],['17.000'],['4'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2019/2020'],['58.718'],['5'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['ASX'],['Gasolina e álcool'],['2017/2018'],['27.412'],['4'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['540i'],['Gasolina'],['2017/2018'],['15.600'],['0'],['Sedã'],['Preto'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['LOGAN'],['Gasolina e álcool'],['2011/2011'],['116.000'],['7'],['Sedã'],['Preto'],['nao'],[''],['nao'],['nao'],['sim'],[''],[''],['nao']
['COMPASS'],['Gasolina e álcool'],['2019/2020'],['5.240'],['5'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PALIO'],['Gasolina e álcool'],['2011/2012'],['81.000'],['6'],['Perua/SW'],['Verde'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['CLC 200 K'],['Gasolina'],['2010/2010'],['27.500'],['0'],['Cupê'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['TIGGO 7'],['Gasolina e álcool'],['2019/2020'],['30.200'],['6'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ARGO'],['Gasolina e álcool'],['2017/2018'],['94.000'],['5'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['RENEGADE'],['Gasolina e álcool'],['2019/2019'],['40.478'],['8'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['A3'],['Gasolina'],['2019/2019'],['31.000'],['6'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['328i'],['Gasolina'],['2014/2015'],['87.000'],['6'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['FUSION'],['Gasolina'],['2018/2019'],['22.000'],['6'],['Sedã'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['FOX'],['Gasolina e álcool'],['2019/2020'],['18.209'],['5'],['Hatchback'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['FIT'],['Gasolina e álcool'],['2015/2015'],['52.369'],['8'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['nao'],[''],[''],['nao']
['CRUZE'],['Gasolina e álcool'],['2019/2020'],['20.313'],['1'],['Sedã'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['FRONTIER'],['Diesel'],['2021/2021'],['600'],['1'],['Picape'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GALLARDO'],['Gasolina'],['2008/2008'],['19.500'],['4'],['Cupê'],['Laranja'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['FUSION'],['Gasolina'],['2010/2010'],['153.000'],['4'],['Sedã'],['Preto'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['HILUX SW4'],['Gasolina'],['2009/2009'],['102.500'],['1'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['X1'],['Gasolina e álcool'],['2018/2019'],['50.968'],['4'],['Utilitário esportivo'],['Prata'],['nao'],[''],['nao'],['nao'],['nao'],['Rodas de liga leve'],[''],['Computador de bordo']
['GOL'],['Gasolina e álcool'],['2019/2020'],['40.345'],['4'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['POLO'],['Gasolina e álcool'],['2019/2020'],['18.000'],['4'],['Hatchback'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['MARCH'],['Gasolina e álcool'],['2013/2014'],['93.000'],['4'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['LOGAN'],['Gasolina e álcool'],['2018/2019'],['51.000'],['5'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['JOY'],['Gasolina e álcool'],['2019/2020'],['41.602'],['6'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['YARIS'],['Gasolina e álcool'],['2020/2021'],['8.689'],['2'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['POLO'],['Gasolina e álcool'],['2019/2020'],['41.125'],['4'],['Hatchback'],['Cinza'],['sim'],[''],['sim'],['nao'],['nao'],[''],[''],['Computador de bordo']
['KWID'],['Gasolina e álcool'],['2019/2020'],['16.500'],['1'],['Hatchback'],['Bege'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['AMAROK'],['Diesel'],['2012/2012'],['122.000'],['0'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SPORTAGE'],['Gasolina e álcool'],['2018/2019'],['7.060'],['7'],['Utilitário esportivo'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['ARGO'],['Gasolina e álcool'],['2019/2020'],['47.870'],['6'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['SANTA FÉ'],['Gasolina'],['2010/2011'],['89.000'],['0'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SANDERO'],['Gasolina e álcool'],['2013/2013'],['83.000'],['5'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['COMPASS'],['Gasolina e álcool'],['2017/2018'],['27.000'],['6'],['Utilitário esportivo'],['Marrom'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SANDERO'],['Gasolina e álcool'],['2019/2020'],['45.585'],['0'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['COBALT'],['Gasolina e álcool'],['2019/2020'],['41.199'],['2'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['HILUX SW4'],['Diesel'],['2010/2011'],['123.000'],['6'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['M2'],['Gasolina'],['2019/2019'],['19.000'],['3'],['Cupê'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CAPTUR'],['Gasolina e álcool'],['2018/2019'],['22.580'],['9'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['TIGUAN'],['Gasolina'],['2011/2012'],['74.400'],['7'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2016/2016'],['90.000'],['0'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['DISCOVERY SPORT'],['Gasolina'],['2015/2016'],['70.000'],['0'],['Utilitário esportivo'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['S10'],['Diesel'],['2019/2020'],['67.422'],['4'],['Picape'],['Branco'],['sim'],[''],['nao'],['nao'],['sim'],[''],[''],['Computador de bordo']
['COMPASS'],['Diesel'],['2016/2017'],['51.000'],['4'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SPIN'],['Gasolina e álcool'],['2019/2020'],['41.518'],['1'],['Minivan'],['Prata'],['sim'],[''],['nao'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['IX35'],['Gasolina e álcool'],['2015/2016'],['34.500'],['7'],['Utilitário esportivo'],['Prata'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['PRISMA'],['Gasolina e álcool'],['2019/2019'],['41.230'],['4'],['Sedã'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['XC90'],['Gasolina'],['2019/2019'],['22.500'],['4'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GLA 200'],['Gasolina e álcool'],['2019/2020'],['30.356'],['9'],['Utilitário esportivo'],['Azul'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['COMPASS'],['Diesel'],['2017/2018'],['43.333'],['8'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['DISCOVERY 4'],['Diesel'],['2015/2015'],['63.000'],['0'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['DUSTER OROCH'],['Gasolina e álcool'],['2019/2020'],['14.000'],['6'],['Picape'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['HB20S'],['Gasolina e álcool'],['2014/2014'],['241.000'],['5'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FIESTA'],['Gasolina e álcool'],['2008/2008'],['143.182'],['7'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['A3'],['Gasolina'],['2019/2020'],['15.055'],['2'],['Sedã'],['Branco'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CAPTUR'],['Gasolina e álcool'],['2018/2019'],['48.000'],['3'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['CLA 45 AMG'],['Gasolina'],['2015/2016'],['24.500'],['2'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['ZAFIRA'],['Gasolina'],['2003/2004'],['111'],['5'],['Minivan'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['KA'],['Gasolina e álcool'],['2019/2020'],['46.020'],['6'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['TORO'],['Diesel'],['2020/2021'],['22.500'],['3'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['VARIANT'],['Gasolina'],['1973/1974'],['85.300'],['4'],['Perua/SW'],['Marrom'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['HILUX SW4'],['Diesel'],['2020/2021'],['250'],['0'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['POLO'],['Gasolina e álcool'],['2019/2020'],['42.000'],['5'],['Hatchback'],['Cinza'],['sim'],[''],['sim'],['nao'],['nao'],[''],[''],['Computador de bordo']
['FUSCA'],['Gasolina'],['1974/1974'],['100'],['0'],['Sedã'],['Marrom'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['FOCUS'],['Gasolina e álcool'],['2014/2014'],['76.745'],['4'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ETIOS'],['Gasolina e álcool'],['2014/2015'],['76.900'],['3'],['Hatchback'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['COROLLA'],['Gasolina'],['2007/2007'],['244.000'],['8'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['718'],['Gasolina'],['2020/2020'],['888'],['6'],['Cupê'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CAYENNE'],['Gasolina e elétrico'],['2019/2020'],['8.000'],['5'],['Utilitário esportivo'],['Cinza'],['nao'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SPIN'],['Gasolina e álcool'],['2019/2020'],['42.250'],['2'],['Minivan'],['Cinza'],['sim'],[''],['nao'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['SANDERO'],['Gasolina e álcool'],['2013/2014'],['230.000'],['6'],['Hatchback'],['Prata'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['COOPER'],['Gasolina'],['2018/2019'],['4.000'],['7'],['Hatchback'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CAYENNE'],['Gasolina'],['2012/2012'],['39.538'],['7'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CIVIC'],['Gasolina e álcool'],['2020/2020'],['22.000'],['6'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['DUCATO'],['Diesel'],['2012/2012'],['345.924'],['3'],['Van/Utilitário'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],['Retrovisores elétricos'],['nao']
['T-CROSS'],['Gasolina e álcool'],['2019/2020'],['16.000'],['5'],['Utilitário esportivo'],['Marrom'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['JEEP'],['Gasolina'],['1959/1959'],['28.500'],['9'],['Utilitário esportivo'],['Bege'],['nao'],[''],['nao'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['C4 CACTUS'],['Gasolina e álcool'],['2020/2021'],['3.000'],['4'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['B 180'],['Gasolina'],['2009/2010'],['75.600'],['3'],['Minivan'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['ES 350'],['Gasolina'],['2015/2015'],['57.526'],['0'],['Sedã'],['Azul'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SPRINTER'],['Diesel'],['2015/2015'],['138.000'],['1'],['Van/Utilitário'],['Prata'],['sim'],[''],['nao'],['nao'],['sim'],[''],[''],['nao']
['COROLLA'],['Gasolina e álcool'],['2016/2016'],['32.500'],['0'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['JETTA'],['Gasolina'],['2012/2012'],['156.547'],['3'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['COROLLA'],['Gasolina e álcool'],['2015/2016'],['33.000'],['8'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['S10'],['Gasolina e álcool'],['2018/2018'],['69.438'],['9'],['Picape'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['300 C'],['Gasolina'],['2006/2006'],['122.000'],['1'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['KWID'],['Gasolina e álcool'],['2019/2020'],['40.508'],['1'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
